app_name,block_externalId,board_name,channel,cluster_externalId,completedDate,district_externalId,ecm_marked_na,entity_externalId,entity_id,entity_name,entity_type,organisation_id,organisation_name,parent_channel,private_program,program_externalId,program_id,program_name,role_title,school_externalId,solution_externalId,solution_id,solution_name,solution_type,state_externalId,status,submission_id,updatedAt,user_id,state_name,district_name,block_name,school_name
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,"","","",2022-04-27T12:57:08.543+05:30,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,"","",SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,DEO,28226200910,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,completed,62693d5409446e00072c6242,2022-04-27T12:57:08.546+05:30,3486fdb5-0e13-4638-94af-9a0e5fd7d865,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,"","","",2022-04-27T13:18:32.548+05:30,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,"","",SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,DEO,28226200910,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,completed,6269427b09446e00072c62df,2022-04-27T13:18:32.551+05:30,c9e940bd-c77a-4e85-8a79-f7099d21cbbe,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"","",2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275629919314739239019,MPPS RAMANAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,HM,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,started,61a60f6119c32c0007df4012,2021-11-30T11:47:45.892+05:30,5145c0a9-2143-4e25-a0d3-ff55da8639da,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"","",2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275630321992499239077,MPPS HANUMANNAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,DEO,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,started,61a8a52e19c32c0007df5359,2021-12-02T10:51:26.695+05:30,fc3e376c-bf73-4d46-8caf-fb39e12814ed,Andhra Pradesh,ANANTAPUR,AGALI,""
sunbird,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"",2021-12-03T06:20:04.346+05:30,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275629919314739239019,MPPS RAMANAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,DEO,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,completed,61a9b6fc19c32c0007df596b,2021-12-03T06:20:04.348+05:30,5145c0a9-2143-4e25-a0d3-ff55da8639da,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"",2021-12-06T12:04:49.637+05:30,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275630321992499239077,MPPS HANUMANNAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,HM,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,completed,61adfc3f19c32c0007df673d,2021-12-06T12:04:49.639+05:30,84c2c40f-49b0-4329-ba4f-39e718c8371f,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"",2021-12-06T12:05:34.765+05:30,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275630321992499239077,MPPS HANUMANNAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,HM,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,completed,61adfc6b19c32c0007df6753,2021-12-06T12:05:34.768+05:30,84c2c40f-49b0-4329-ba4f-39e718c8371f,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"","",2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275630321992499239077,MPPS HANUMANNAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,HM,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,started,61adfc9119c32c0007df678b,2021-12-06T12:05:37.758+05:30,84c2c40f-49b0-4329-ba4f-39e718c8371f,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"","",2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275630321992499239077,MPPS HANUMANNAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,HM,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,started,61adfc9a19c32c0007df67b0,2021-12-06T12:05:46.418+05:30,84c2c40f-49b0-4329-ba4f-39e718c8371f,Andhra Pradesh,ANANTAPUR,AGALI,""
diksha,966c3be4-c125-467d-aaff-1eb1cd525923,CBSE,0126796199493140480,"",2021-12-07T03:40:20.949+05:30,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,"",D_AP-D012,5fd098e2e049735a86b748b7,ANANTAPUR,district,01275629919314739239019,MPPS RAMANAHALLI,SHIKSHALOKAM,false,PGM-FD155-testing-4.5,61a605e20f65b90007901b9c,Testing 4.5,DEO,28226200402,62f13696-51d1-11ec-96e8-a9ffbe6dcc7f-OBSERVATION-TEMPLATE_CHILD,61a60c1e19c32c0007df3ff6,Simple Observation-FD155,observation_with_out_rubric,bc75cc99-9205-463e-a722-5326857838f8,completed,61aed78a19c32c0007df692f,2021-12-07T03:40:20.952+05:30,5145c0a9-2143-4e25-a0d3-ff55da8639da,Andhra Pradesh,ANANTAPUR,AGALI,""
